symbol,date,open,high,low,close,volume,adjusted
^DJI;,27/03/2020,21898.47,22327.57,21469.27,21636.78,588830000.00,21636.78
^DJI;,30/03/2020,21678.22,22378.09,21522.08,22327.48,545540000.00,22327.48
^DJI;,31/03/2020,22208.42,22480.37,21852.08,21917.16,571210000.00,21917.16
^DJI;,01/04/2020,21227.38,21487.24,20784.43,20943.51,506680000.00,20943.51
^DJI;,02/04/2020,20819.46,21477.77,20735.02,21413.44,529540000.00,21413.44
^DJI;,03/04/2020,21285.93,21447.81,20863.09,21052.53,450010000.00,21052.53
^DJI;,06/04/2020,21693.63,22783.45,21693.63,22679.99,610760000.00,22679.99
^DJI;,07/04/2020,23537.44,23617.24,22634.45,22653.86,594660000.00,22653.86
^DJI;,08/04/2020,22893.47,23513.40,22682.99,23433.57,472740000.00,23433.57
^DJI;,09/04/2020,23690.66,24008.99,23504.09,23719.37,566400000.00,23719.37
^DJI;,13/04/2020,23698.93,23698.93,23095.35,23390.77,394320000.00,23390.77
^DJI;,14/04/2020,23690.57,24040.58,23683.44,23949.76,485910000.00,23949.76
^DJI;,15/04/2020,23600.72,23649.72,23233.32,23504.35,437630000.00,23504.35
^DJI;,16/04/2020,23543.66,23598.08,23211.38,23537.68,471050000.00,23537.68
^DJI;,17/04/2020,23817.15,24264.21,23817.15,24242.49,525950000.00,24242.49
^DJI;,20/04/2020,24095.10,24108.69,23627.19,23650.44,423410000.00,23650.44
^DJI;,21/04/2020,23365.25,23365.25,22941.88,23018.88,485140000.00,23018.88
^DJI;,22/04/2020,23437.34,23613.10,23339.60,23475.82,352880000.00,23475.82
^DJI;,23/04/2020,23543.09,23885.36,23483.35,23515.26,389290000.00,23515.26
^DJI;,24/04/2020,23628.24,23826.00,23417.68,23775.27,376020000.00,23775.27
^DJI;,27/04/2020,23866.15,24207.65,23840.61,24133.78,389390000.00,24133.78
^DJI;,28/04/2020,24357.17,24512.24,24031.20,24101.55,400250000.00,24101.55
^DJI;,29/04/2020,24490.37,24764.77,24453.99,24633.86,455290000.00,24633.86
^DJI;,30/04/2020,24585.57,24585.57,24186.90,24345.72,487840000.00,24345.72
^DJI;,01/05/2020,24120.78,24120.78,23645.30,23723.69,418160000.00,23723.69
^DJI;,04/05/2020,23581.55,23769.56,23361.16,23749.76,355360000.00,23749.76
